Temperature,EC,PH,DO,Score
23.1,191,7.5,8.8,45.79
23.1,89,7.3,8.6,45.78
23.1,82,7.3,8.6,45.75
23.1,579,8.15,10.3,45.72
23.1,236,7.6,8.1,45.71
23.1,446,7.2,4.2,45.7
23.1,368,7.9,9.2,45.69
23.1,209,8,8.9,45.65
23.1,346,8,8.3,45.64
23.1,106,7.6,8.7,45.64
23.1,645,8.6,9.9,45.61
23.1,148,8,8.8,45.6
23.1,630,8.54,10,45.52
23.1,502,8.37,9.2,45.5
23.1,269,7.52,5.9,45.48
23.1,561,3.1,9,45.47
23.1,392,7.4,4.2,45.44
23.1,162,7.8,8.9,45.43
23.1,208,8,9,45.41
23.1,304,7.3,5.2,45.39
23.1,392,8,9.4,45.32
23.1,140,7.8,8.9,45.31
23.1,89,7.3,8.8,45.31
23.1,86,7.9,8.8,45.29
23.1,192,7.2,6.4,45.28
23.1,765,8.02,9.5,45.28
23.1,295,7.3,5,45.26
23.1,543,8.34,10.3,45.26
23.1,238,7.4,5.7,45.24
23.1,398,7.9,8.3,45.21
23.1,184,6.8,7.4,45.2
23.1,69,7.18,8.8,45.2
23.1,550,8.1,9.4,45.19
23.1,301,7.4,8.1,45.18
23.1,166,7.1,9,45.18
23.1,1330,8.02,3.4,45.17
23.1,58,7.2,8.8,45.14
23.1,443,8,9.6,45.05
23.1,206,7.2,5.6,45.02
23.1,81,7.4,8.9,44.98
23.1,129,7.4,9,44.97
23.1,199,7.2,5.4,44.89
23.1,229,7.29,5,44.88
23.1,331,7.5,8.1,44.85
23.1,179,7.3,5.3,44.72
23.1,123,7.6,9.1,44.63
23.1,1140,8.1,9.3,44.62
23.1,519,8.4,9,44.62
23.1,205,7,4.7,44.59
23.1,354,7.6,8.1,44.57
23.1,216,7.47,4.4,44.52
23.1,237,7.3,3.7,44.31
23.1,72,7.5,9.1,44.31
23.1,480,7.77,8.3,44.21
23.1,152,7.8,9.3,44.18
23.1,199,7,3.8,44.11
23.1,245,7.22,3.2,44.1
23.1,226,7.2,3.4,44.08
23.1,504,8.5,8.8,43.91
23.1,222,7.1,3.1,43.9
23.1,143,7.98,9.4,43.78
23.1,413,7.6,8.1,43.69
23.1,421,8.1,8,43.55
23.1,102,7.8,9.4,43.5
23.1,475,7.7,8.2,43.48
23.1,149,7.6,9.5,43.48
23.1,772,8.14,5.8,43.46
23.1,278,7.08,1.1,43.22
23.1,335,7.2,0.2,43.13
23.1,332,7.2,0.1,43.06
23.1,503,8.4,8.8,43.01
23.1,301,7.1,0.2,42.89
23.1,547,8.38,8.8,42.81
23.1,83,7.5,9.8,41.93
23.1,560,8.5,8.6,41.92
23.1,124,7.6,9.9,41.86
23.1,530,8.34,8.7,41.16
23.1,336,7.2,10.6,40.86
23.1,687,8.3,8.7,40.6
23.1,563,8.3,8.7,40.6
23.1,893,8.1,12,40.24
23.1,638,8.3,11.9,39.89
23.1,703,8.2,8.7,39.03
23.1,1380,8.08,8.8,38.68
23.1,504,8.3,8.5,37.17
23.1,900,8.3,12.7,37.17
23.1,516,8.2,8.6,37.17
23.1,650,8.3,8.5,37.17
23.1,582,8.9,12.5,35.93
23.1,262,8,12,35.7
23.1,468,7.3,12.6,35.14
23.1,530,8.1,8.6,35
23.1,561,8.2,8.4,32.47
23.1,638,8.2,8.4,32.47
23.1,525,8.3,8.2,29.54
23.1,678,8.2,8.3,29.54
23.1,622,8.2,8.3,29.54
23.1,576,8.2,8.3,29.54
23.1,578,8.2,8.2,26.16
23.1,527,8.24,8.1,23.89
23.1,1510,7.86,7,21.94
23.1,1730,7.36,6.5,20.27
23.1,2110,7.5,7.8,19.81
23.1,2730,7.9,8,19.62
23.1,2730,7.6,7.2,19.62
23.1,2890,7.2,6.6,19.6
23.1,2970,7.7,7.2,19.59
23.1,3160,7.7,7.6,19.57
23.1,5170,7.88,6.5,19.48
23.1,16100,7.7,6.7,19.43
23.1,16700,8,7.7,19.43
23.1,32200,7.76,6.7,19.42
23.1,24500,7.8,6.8,19.42
23.1,42100,8,7.1,19.41
23.1,409,8.22,9.6,19.41
23.1,284,8.4,9.2,19.4
23.1,229,8.2,9.3,19.4
23.1,262,8.6,9,19.39
23.1,290,8.1,9.4,19.39
23.1,194,8.5,9,19.38
23.1,260,8.2,9.2,19.37
23.1,252,8.43,9.2,19.37
23.1,278,8.5,8.9,19.35
23.1,231,8.3,9,19.34
23.1,287,8.2,9.2,19.33
23.1,249,8.1,9.2,19.31
23.1,242,8.6,9.1,19.31
23.1,166,8.13,9,19.31
23.1,271,4.27,8.4,19.29
23.1,325,6.82,8.9,19.26
23.1,176,8.3,8.8,19.25
23.1,378,8.3,9.2,19.24
23.1,436,8.5,9.1,19.22
23.1,281,8.28,9.6,19.21
23.1,141,8.2,8.8,19.2
23.1,387,8.42,9.7,19.18
23.1,241,8.27,8.9,19.15
23.1,421,8.52,9,19.13
23.1,304,8.28,9,19.12
23.1,140,8.04,8.9,19.1
23.1,347,8.6,9.5,19.1
23.1,178,8.1,8.9,19.07
23.1,423,8.48,9,19.04
23.1,192,8.36,9.5,19
23.1,245,8.4,9.6,18.95
23.1,407,8.3,9.1,18.93
23.1,218,8.31,8.7,18.9
23.1,423,8.4,9,18.85
23.1,353,8.43,8.8,18.76
23.1,344,8.2,9,18.72
23.1,348,8.2,9,18.69
23.1,350,8.3,8.9,18.68
23.1,252,8.4,8.6,18.67
23.1,352,8.2,9,18.67
23.1,207,8.3,8.6,18.63
23.1,197,8.5,9.6,18.61
23.1,364,8.2,9,18.58
23.1,471,8.5,8.9,18.53
23.1,423,8.3,9,18.52
23.1,298,8.65,9.7,18.51
23.1,278,8.2,8.8,18.48
23.1,431,8.5,8.8,18.46
23.1,353,8.7,9.8,18.43
23.1,426,8.48,8.8,18.42
23.1,292,3.8,9,18.27
23.1,289,8.07,8.9,18.26
23.1,272,8.55,9.9,18.19
23.1,441,8.34,8.9,18.11
23.1,423,8.2,9,18.09
23.1,475,8.3,9,18.07
23.1,278,8.2,8.7,18.04
23.1,300,8.4,10.2,17.99
23.1,356,8.24,8.8,17.96
23.1,477,8.8,10.2,17.88
23.1,344,8.3,8.7,17.88
23.1,125,8.2,10.1,17.87
23.1,579,8.1,8.1,17.83
23.1,454,8.2,10.8,17.78
23.1,341,8.5,10.3,17.72
23.1,276,8.1,8.7,17.51
23.1,376,8.3,8.7,17.51
23.1,345,8.4,10.5,17.5
23.1,452,8.32,8.8,17.31
23.1,349,8.5,8.4,17.21
23.1,420,8.4,10.8,17.13
23.1,333,8.25,8.6,17.09
23.1,318,8.2,8.6,16.94
23.1,421,8.2,8.8,16.9
23.1,269,8.4,10.6,16.88
23.1,323,8.3,8.5,16.87
23.1,314,8.18,8.6,16.86
23.1,391,8.5,10.8,16.74
23.1,256,8.6,10.5,16.56
23.1,258,8.03,8.6,16.56
23.1,295,8.1,8.6,16.53
23.1,396,8.2,8.7,16.51
23.1,485,8.47,8.6,16.44
23.1,403,8.2,8.7,16.39
23.1,337,8.36,8.4,16.32
23.1,461,8.2,8.8,16.25
23.1,365,8.2,8.6,16.18
23.1,275,8.02,8.6,16.18
23.1,228,9,10.4,15.66
23.1,359,8.2,8.5,15.34
23.1,467,8.3,8.6,15.17
23.1,337,8.2,8.4,14.72
23.1,330,8.18,8.4,14.65
23.1,444,8.2,8.6,14.55
23.1,400,8.2,8.5,14.41
23.1,252,8.1,8.3,14.36
23.1,321,8.1,8.4,13.88
23.1,498,8.23,8.6,13.56
23.1,437,8.1,8.6,13.45
23.1,450,8.2,8.5,13.08
23.1,420,8.24,8.4,13.08
23.1,377,8.2,8.3,12.25
23.1,346,8.3,8.1,11.63
23.1,436,8.17,8.4,11.46
23.1,369,8.23,8.2,11.35
23.1,406,8.3,8.2,11.28
23.1,461,8.4,8.2,11.11
23.1,1470,7.7,3.2,10.28
23.1,388,8.1,8.3,10.1
23.1,476,8.32,8.2,8.95
23.1,1530,7.8,6,8.79
23.1,471,8.3,8.2,8.73
23.1,1540,7.4,1.2,8.66
23.1,399,8.05,8.3,8.6
23.1,1550,7.5,6,8.55
23.1,1570,7.44,6.1,8.37
23.1,1570,7.76,3.4,8.36
23.1,1580,7.8,0.4,8.28
23.1,1580,7.8,0.8,8.28
23.1,398,8.12,8.2,7.97
23.1,1660,9.56,6.8,7.88
23.1,1660,7.84,5.6,7.88
23.1,388,8.18,8.1,7.5
23.1,1980,8,2.7,7.36
23.1,1980,7.8,5.7,7.36
23.1,2150,8.4,6.6,7.27
23.1,2370,7.3,0.7,7.19
23.1,2760,7.3,5,7.12
23.1,2890,7.7,2.2,7.11
23.1,2890,7.14,4.6,7.11
23.1,3250,7.6,8.1,7.07
23.1,3460,7.25,2.1,7.06
23.1,3560,7.7,5,7.05
23.1,4500,7.4,5.5,7.02
23.1,5100,7.6,1,7.01
23.1,4740,7.1,4.7,7.01
23.1,5230,7.35,5.2,7
23.1,6150,7.24,3.9,6.99
23.1,7480,7.7,8.6,6.98
23.1,8130,7.8,1.2,6.98
23.1,7050,7.7,1,6.98
23.1,8270,7.53,4.7,6.98
23.1,9550,8,13.3,6.97
23.1,13400,7.8,0.6,6.96
23.1,14600,7.1,0.1,6.96
23.1,11200,7.56,5.9,6.96
23.1,13100,7.26,3.8,6.96
23.1,23400,7.5,1.5,6.95
23.1,29100,7.7,6,6.95
23.1,27400,8.1,6.6,6.95
23.1,22400,7.5,3.8,6.95
23.1,24500,7.7,2.1,6.95
23.1,28700,7.6,5.6,6.95
23.1,33600,7.8,4.4,6.95
23.1,33600,7.93,5.7,6.95
23.1,50700,8.1,7.1,6.94
23.1,1520,8.1,1.1,-9.08
23.1,2100,8.2,3.2,-10.47
23.1,3980,8.4,5,-10.68
23.1,4400,6.9,5.3,-10.69
23.1,19400,8.4,5.8,-10.75
23.1,40100,8.1,9.9,-10.76
23.1,29800,8.04,8.2,-10.76
23.2,656,7.8,7.9,100
23.2,516,7.9,7.4,100
23.2,547,7.8,7.9,100
23.2,565,7.8,6.6,100
23.2,636,8,7.8,100
23.2,766,7.9,7.1,100
23.2,529,7.9,7.1,100
23.2,806,7.1,7.1,100
23.2,506,7.9,7.1,100
23.2,554,7.8,7.4,100
23.2,538,7.62,6.5,100
23.2,563,7.46,7.7,100
23.2,697,7.9,7.5,100
23.2,684,7.7,6.7,100
23.2,864,7.62,7.7,100
23.2,622,7.98,7.8,100
23.2,495,7.8,7.3,73.14
23.2,758,7.8,9,73.14
23.2,496,7.78,7,73.14
23.2,559,7.6,6.4,73.13
23.2,708,7.7,6.3,73.13
23.2,816,7.6,6.4,73.13
23.2,1080,7.4,6.3,73.13
23.2,540,8,6.4,73.13
23.2,709,7.9,6.4,73.13
23.2,487,8,7.7,73.13
23.2,1300,8,6.3,73.13
23.2,862,7.94,6.4,73.13
23.2,1100,7.63,6.3,73.13
23.2,567,6.89,7.5,73.13
23.2,481,7.95,8,73.13
23.2,476,7.6,7.9,73.12
23.2,479,7.67,6.8,73.12
23.2,740,7.8,6.1,73.11
23.2,525,7.7,6.1,73.11
23.2,470,7.58,7.4,73.11
23.2,568,7.98,6,73.1
23.2,696,7.8,5.9,73.08
23.2,645,7.8,5.9,73.08
23.2,453,7.86,7.8,73.08
23.2,849,7.42,5.9,73.08
23.2,450,7.4,8,73.07
23.2,446,7.96,7.7,73.06
23.2,444,7.01,8,73.06
23.2,443,7.8,7.6,73.05
23.2,437,7.8,7.1,73.04
23.2,434,7.4,8,73.03
23.2,420,7.5,6.8,72.98
23.2,1060,7.7,5.4,72.96
23.2,412,7.5,8,72.95
23.2,670,7.45,5.3,72.93
23.2,409,7.72,7.3,72.93
23.2,407,8,7,72.92
23.2,406,7.33,6.6,72.92
23.2,873,7.7,5.2,72.89
23.2,888,7.93,5.2,72.89
23.2,396,7.92,7.9,72.87
23.2,809,7.7,5.1,72.86
23.2,393,7.52,7.1,72.86
23.2,556,7.6,8.8,72.84
23.2,388,7.5,6.8,72.84
23.2,507,7.98,8.8,72.84
23.2,825,7.6,5,72.82
23.2,380,7.7,7.4,72.79
23.2,370,7.8,7.9,72.74
23.2,860,7.91,4.8,72.73
23.2,360,7.1,7.5,72.68
23.2,1200,7.7,4.6,72.64
23.2,515,8,9.3,72.62
23.2,349,7,7.9,72.61
23.2,692,7.6,4.5,72.59
23.2,340,7.8,6.6,72.55
23.2,723,7.7,4.4,72.54
23.2,335,7.72,6.5,72.52
23.2,846,7.6,4.3,72.49
23.2,757,7.6,4.3,72.49
23.2,794,7.83,4.3,72.49
23.2,331,7.92,7.9,72.49
23.2,679,7.8,4.3,72.49
23.2,310,7.1,7.8,72.34
23.2,800,7.6,4,72.32
23.2,731,7.4,4,72.32
23.2,306,7.26,6.5,72.31
23.2,305,7.3,6.6,72.3
23.2,520,7.96,9.4,72.26
23.2,1130,7.2,3.8,72.2
23.2,682,7.3,3.8,72.2
23.2,615,7.5,3.6,72.07
23.2,547,7.5,3.5,72.01
23.2,1230,7.6,3.5,72.01
23.2,625,7.6,3.4,71.94
23.2,250,7.54,6.7,71.84
23.2,740,7.8,8.6,71.84
23.2,249,7.4,6.8,71.83
23.2,501,7.6,3.2,71.81
23.2,228,8,6.6,71.64
23.2,222,7.6,7,71.58
23.2,208,7.3,6.5,71.44
23.2,195,7.51,6.8,71.32
23.2,579,7.7,2.5,71.29
23.2,190,7.54,7.7,71.27
23.2,186,7.2,7.5,71.23
23.2,182,7.4,7.2,71.18
23.2,1030,7.75,2.3,71.13
23.2,874,7.38,2.2,71.05
23.2,550,7.8,8.5,71.03
23.2,507,7.5,8.5,71.03
23.2,993,7.74,8.5,71.03
23.2,167,7.08,8,71.03
23.2,164,7.5,7.6,71
23.2,161,7.5,7.4,70.97
23.2,767,7.7,1.7,70.64
23.2,129,7.3,6.9,70.62
23.2,125,7.4,8,70.58
23.2,115,7.3,7.7,70.47
23.2,114,7.33,7.3,70.46
23.2,112,7.9,7.7,70.43
23.2,104,7.55,7.9,70.35
23.2,1180,7.9,1,70.04
23.2,933,7.9,8.4,69.98
23.2,580,8,8.4,69.98
23.2,928,7.8,0.9,69.95
23.2,1260,7.6,0.7,69.77
23.2,932,7.7,0.6,69.68
23.2,590,7.35,0.4,69.5
23.2,1050,7.4,0.3,69.41
23.2,1010,7.8,0.1,69.23
23.2,1290,7.2,0.1,69.23
23.2,1060,7.6,0.1,69.23
23.2,700,8.32,6.5,68.95
23.2,919,7.7,8.3,68.67
23.2,1000,7.81,8.3,68.67
23.2,550,8.2,7.9,67.1
23.2,510,8.2,7,67.1
23.2,589,8,8.2,67.1
23.2,1160,8,10.6,65.46
23.2,809,8.1,6.5,65.24
23.2,705,8.1,7.8,65.24
23.2,517,7.8,8.1,65.24
23.2,506,8.1,7.3,65.24
23.2,614,8.04,7,63.98
23.2,212,7.6,8.4,46.27
23.2,845,8.2,9.8,46.27
23.2,436,7.1,8.9,46.27
23.2,185,7.8,8.4,46.27
23.2,508,8.2,9.8,46.27
23.2,224,8,8.5,46.26
23.2,284,8,8.5,46.26
23.2,232,8,8.4,46.26
23.2,474,7.88,8.9,46.26
23.2,220,7,8.5,46.26
23.2,284,7.81,8.5,46.26
23.2,232,7.94,8.4,46.26
23.2,107,7.3,8.3,46.25
23.2,599,8.2,9.9,46.24
23.2,537,8.3,9.8,46.24
23.2,251,7.7,8.4,46.23
23.2,101,7.4,8.1,46.23
23.2,497,7.6,5.8,46.23
23.2,202,8,8.3,46.23
23.2,267,8,8.4,46.21
23.2,116,7.1,8.1,46.21
23.2,438,7.5,6.3,46.2
23.2,422,7.98,8.7,46.2
23.2,319,7.5,8.8,46.19
23.2,113,7.3,8.4,46.18
23.2,679,8.2,0.2,46.18
23.2,1360,8.2,2.4,46.17
23.2,161,7.7,8.5,46.17
23.2,106,7.4,8.4,46.16
23.2,459,7.17,5.8,46.16
23.2,150,7.4,8.5,46.15
23.2,449,7.8,9.1,46.15
23.2,589,8.3,9.9,46.15
23.2,146,7.4,8.5,46.14
23.2,395,7.91,9,46.14
23.2,198,7.17,8.2,46.13
23.2,1050,2.8,8.2,46.12
23.2,571,8.3,9.5,46.12
23.2,286,7.4,8.8,46.12
23.2,719,8.2,9.6,46.12
23.2,516,8.5,9.3,46.12
23.2,132,7.4,8.5,46.1
23.2,398,7.3,6.1,46.06
23.2,262,8,8.8,46.05
23.2,113,7.34,8.5,46.05
23.2,459,7.7,9.2,46.04
23.2,110,7.6,8.5,46.04
23.2,240,7.72,8.8,45.98
23.2,420,7.5,5.4,45.96
23.2,245,7.1,8.2,45.94
23.2,123,7.8,8.6,45.92
23.2,665,8.3,9.4,45.92
23.2,353,7.8,8.4,45.9
23.2,361,8.41,8,45.89
23.2,872,2.9,8.1,45.88
23.2,60,7.41,8.5,45.87
23.2,452,7.4,9.3,45.84
23.2,152,7.96,8.7,45.84
23.2,151,7.7,8.7,45.83
23.2,449,7.96,9.3,45.83
23.2,145,7.88,8.7,45.81
23.2,437,7.6,4.6,45.79
23.2,84,7.2,8.6,45.76
23.2,226,8,8.9,45.73
23.2,301,7.3,6.1,45.7
23.2,215,7.8,8.9,45.68
23.2,502,8.02,9.6,45.68
23.2,242,7.71,8.1,45.67
23.2,54,7.22,8.6,45.63
23.2,544,8.2,9.4,45.61
23.2,561,8.1,9.5,45.61
23.2,88,7.5,8.7,45.56
23.2,528,8.48,9.1,45.54
23.2,270,8,9.1,45.47
23.2,306,7.2,5.4,45.47
23.2,116,7.7,8.8,45.45
23.2,232,7.4,6.2,45.41
23.2,159,7.2,8.9,45.41
23.2,109,7.9,8.8,45.41
23.2,334,8.2,7.9,45.34
23.2,142,7.8,8.9,45.32
23.2,196,6.9,7.9,45.31
23.2,216,7.4,6.1,45.29
23.2,227,7.36,9.1,45.24
23.2,237,8,5.7,45.23
23.2,218,7.1,5.9,45.21
23.2,518,8.2,9.3,45.19
23.2,167,7.79,9,45.19
23.2,281,7.3,5,45.18
23.2,402,8,8.3,45.17
23.2,313,7.96,9.3,45.17
23.2,452,8.4,7.8,45.17
23.2,189,7.3,6.1,45.14
23.2,339,7.42,4,45.07
23.2,93,7.68,8.9,45.05
23.2,91,7.72,8.9,45.04
23.2,735,8.43,10.3,45.01
23.2,293,7.47,4.4,44.99
23.2,162,7.2,6.1,44.98
23.2,129,7.2,9,44.97
23.2,336,8.1,7,44.8
23.2,100,7.6,9,44.8
23.2,168,7.22,5.6,44.79
23.2,71,8,9,44.62
23.2,567,8.3,9.1,44.62
23.2,351,8.1,8,44.61
23.2,162,7.2,5,44.47
23.2,90,7.2,9.1,44.42
23.2,632,8.36,9,44.36
23.2,71,7.5,9.1,44.3
23.2,376,8.1,7.9,44.27
23.2,1340,8.1,4.9,44.26
23.2,195,7.3,4.1,44.23
23.2,193,7,4.1,44.22
23.2,164,4.7,6.6,44.16
23.2,190,8,9.4,44.1
23.2,305,7.2,2.3,44.04
23.2,233,7.1,3.2,44.02
23.2,234,7.1,3,43.93
23.2,459,8.22,8,43.92
23.2,684,8.5,8.8,43.91
23.2,538,8.2,10.9,43.83
23.2,68,7.3,9.3,43.61
23.2,205,7.3,2.4,43.41
23.2,295,7.3,1.2,43.39
23.2,328,7.11,0.7,43.36
23.2,486,7.9,8.2,43.28
23.2,187,7.13,2.2,43.17
23.2,586,8.21,9,43.11
23.2,338,7.9,10,43.05
23.2,284,7.04,0.7,43.04
23.2,547,8.3,8.9,43.01
23.2,299,7.2,0.4,42.99
23.2,275,7.1,0.7,42.98
23.2,262,7.1,0.7,42.89
23.2,501,8.3,11.1,42.77
23.2,538,8.42,8.7,42.15
23.2,597,8.1,6.4,42.1
23.2,495,7.16,10.6,42.01
23.2,581,8.4,11.3,41.69
23.2,586,8.6,11.2,41.32
23.2,687,8.35,8.7,41.29
23.2,576,8.3,8.7,40.6
23.2,503,8.1,8.9,40.6
23.2,518,8.28,8.7,40.31
23.2,492,8,11.3,39.48
23.2,529,8.2,8.7,39.03
23.2,449,7.5,12.2,36.22
23.2,750,8.18,8.5,34.52
23.2,558,8.17,8.5,34.28
23.2,672,8.12,8.5,33
23.2,614,8.6,13.9,32.88
23.2,696,8.3,8.3,32.47
23.2,581,8.2,8.4,32.47
23.2,513,8.2,8.4,32.47
23.2,519,8.2,8.4,32.47
23.2,502,8.1,8.4,29.54
23.2,545,8.25,8.2,27.91
23.2,541,8.2,8.2,26.16
23.2,587,8.1,8.2,22.28
23.2,1620,7.15,6.5,20.69
23.2,1680,7.78,7.6,20.42
23.2,1980,7.66,7.3,19.9
23.2,2370,7.95,6.6,19.7
23.2,2500,7.7,7.1,19.67
23.2,2590,7.8,7.7,19.65
23.2,2600,7.5,7.4,19.65
23.2,3370,7.4,6.7,19.55
23.2,4350,7.55,7.8,19.5
23.2,14700,7.6,7.1,19.43
23.2,12800,7.9,7.5,19.43
23.2,13500,7.7,7.9,19.43
23.2,31500,7.8,6.9,19.42
23.2,22900,7.8,6.7,19.42
23.2,17700,7.94,7.6,19.42
23.2,30700,7.91,6.7,19.42
23.2,209,8.1,9.3,19.41
23.2,156,8.2,9.1,19.41
23.2,283,8.5,9,19.4
23.2,180,8.4,8.9,19.4
23.2,248,8.3,9.1,19.39
23.2,324,8.13,9.6,19.39
23.2,198,8.2,9.3,19.38
23.2,304,8.4,9.1,19.38
23.2,281,8.33,9.1,19.37
23.2,248,8.56,8.8,19.36
23.2,368,8.3,9.3,19.36
23.2,269,8.58,8.8,19.35
23.2,432,8.44,9.6,19.34
23.2,397,8.4,9.6,19.32
23.2,249,8.6,9.1,19.32
23.2,182,8.6,9,19.3
23.2,213,8.12,9.1,19.3
23.2,166,8.02,9.1,19.3
23.2,445,8.58,9.1,19.3
23.2,214,8.4,9.3,19.26
23.2,296,8.15,9.2,19.26
23.2,263,8.7,9.1,19.26
23.2,224,8.1,9.1,19.25
23.2,427,8.3,9.3,19.24
23.2,245,8.5,9.3,19.22
23.2,441,8.4,9.8,19.21
23.2,496,8.5,9.2,19.19
23.2,202,8.1,9,19.17
23.2,441,8.48,9.8,19.11
23.2,322,8.5,8.8,19.09
23.2,226,8.3,8.8,19.07
23.2,382,8.6,8.8,19.05
23.2,281,8.4,8.8,19.05
23.2,189,8.2,8.8,19.02
23.2,363,8.29,9.9,19.02
23.2,347,8.1,9.2,18.98
23.2,299,8.2,9.9,18.96
23.2,405,8.5,8.9,18.94
23.2,158,8.1,8.8,18.93
23.2,207,8.3,8.7,18.93
23.2,300,8.36,9.8,18.87
23.2,232,8.1,8.9,18.79
23.2,388,8.31,9,18.79
23.2,233,8.6,9.5,18.74
23.2,392,8.2,9.1,18.73
23.2,304,8.4,8.7,18.65
23.2,237,8.15,8.8,18.6
23.2,466,8.5,8.9,18.57
23.2,412,8.38,10.2,18.51
23.2,350,8.54,8.6,18.46
23.2,344,8.8,9.7,18.39
23.2,241,8.1,8.8,18.38
23.2,294,8.3,8.7,18.35
23.2,369,8.58,10,18.33
23.2,442,8.38,8.9,18.28
23.2,303,8.2,8.8,18.27
23.2,356,8.4,8.7,18.25
23.2,307,8.3,8.7,18.24
23.2,244,4.15,9,18.17
23.2,144,8.05,8.6,18.13
23.2,301,8.44,10.1,18.12
23.2,380,8.5,8.6,18.02
23.2,433,8.3,8.9,17.99
23.2,284,8.3,8.6,17.98
23.2,240,8.5,10,17.94
23.2,453,8.43,8.8,17.94
23.2,298,8.4,8.5,17.83
23.2,350,8.3,8.7,17.81
23.2,301,8.3,8.6,17.8
23.2,410,8.6,8.5,17.7
23.2,411,8.5,8.6,17.69
23.2,192,8.25,8.4,17.62
23.2,332,8.2,8.7,17.43
23.2,233,8.2,8.5,17.42
23.2,427,8.48,8.6,17.37
23.2,361,8.4,8.5,17.05
23.2,409,8.18,8.8,16.93
23.2,325,8.2,8.6,16.84
23.2,429,8.3,8.7,16.78
23.2,449,8.24,8.8,16.78
23.2,476,8.39,8.7,16.75
23.2,283,8.2,8.5,16.72
23.2,384,8.5,10.8,16.71
23.2,499,8.23,8.9,16.7
23.2,186,8.1,8.4,16.67
23.2,304,8.21,8.5,16.46
23.2,402,8.1,8.8,16.41
23.2,454,8.2,8.8,16.38
23.2,406,8.4,8.5,16.34
23.2,357,8.3,8.5,16.32
23.2,361,8.3,8.5,16.25
23.2,311,8.4,8.3,16.25
23.2,110,8.4,10.6,16.08
23.2,381,8.4,8.4,15.89
23.2,236,8.1,8.4,15.8
23.2,482,8.06,8.9,15.48
23.2,405,8.2,8.6,15.42
23.2,361,8.1,8.6,15.29
23.2,394,8.6,11.3,15.24
23.2,436,8.44,8.4,15.19
23.2,430,8.4,8.4,14.88
23.2,336,8.3,8.3,14.74
23.2,386,8.2,8.5,14.74
23.2,338,8.1,8.5,14.69
23.2,367,8.34,8.3,14.48
23.2,355,8.21,8.4,14.41
23.2,307,8.29,8.2,14.11
23.2,422,8.3,8.4,13.85
23.2,473,8.2,8.6,13.83
23.2,384,8.1,8.5,13.53
23.2,447,8.4,8.3,13.16
23.2,403,8.3,8.3,12.99
23.2,253,8.1,8.2,12.99
23.2,432,8.5,12.7,12.31
23.2,387,8.2,8.3,11.93
23.2,1450,8,0.8,11.49
23.2,269,9.44,11.9,11.31
23.2,486,8.35,8.3,11.11
23.2,393,9.1,12.7,10.87
23.2,1460,7.8,3.9,10.81
23.2,1460,7.7,2.5,10.8
23.2,426,8.1,8.4,10.56
23.2,410,8.16,8.3,10.4
23.2,1480,7.75,5.8,9.9
23.2,1490,7.62,6.1,9.59
23.2,461,8.1,8.4,9.16
23.2,487,8.14,8.4,8.9
23.2,424,8.3,8.1,8.6
23.2,1660,7.6,0.1,7.88
23.2,440,8.1,8.3,7.88
23.2,1920,7.8,0.2,7.41
23.2,1960,7.4,5.4,7.38
23.2,476,8.25,8.2,7.36
23.2,2090,7.4,5.6,7.3
23.2,2600,7.6,6.4,7.15
23.2,2710,7.8,5.8,7.13
23.2,2710,8,4.1,7.13
23.2,2830,7.76,5.5,7.11
23.2,3750,7.6,5.4,7.04
23.2,4520,7.9,6.2,7.02
23.2,4990,7.25,5.8,7.01
23.2,5580,7.06,5.1,7
23.2,8680,7.9,3.9,6.97
23.2,13500,7.1,0.8,6.96
23.2,12000,7.7,4.6,6.96
23.2,13900,7.3,0.9,6.96
23.2,13400,7.54,5,6.96
23.2,13000,7.5,1,6.96
23.2,28400,7.8,0.9,6.95
23.2,33700,8,6.3,6.95
23.2,18700,7.6,0.8,6.95
23.2,26200,7.8,3,6.95
23.2,18600,7.6,1.3,6.95
23.2,26600,7.9,6.2,6.95
23.2,19700,7.7,6.2,6.95
23.2,43900,8,6.2,6.95
23.2,21300,7.8,3.5,6.95
23.2,26000,7.44,4.7,6.95
23.2,32900,7.92,5.8,6.95
23.2,39800,8.23,7.9,6.95
23.2,382,8.1,8.1,5.79
23.2,441,8.1,8.2,5.31
23.2,1480,2.7,8.2,-8.28
23.2,1590,8.2,8.5,-9.68
23.2,1900,8.3,11.3,-10.35
23.2,9810,8.1,5.2,-10.74
23.2,18900,8.1,8.2,-10.75
23.2,51500,8.1,6,-10.76
23.3,840,7.9,7.8,100
23.3,674,7.8,6.6,100
23.3,603,7.9,7.8,100
23.3,569,7.9,6.6,100
23.3,601,8,6.8,100
23.3,745,8,7.3,100
23.3,525,7.2,8,100
23.3,1350,7.68,6.9,100
23.3,878,7.66,6.8,100
23.3,622,7.74,7.6,100
23.3,539,8,7.8,100
23.3,513,7.7,6.7,100
23.3,626,7.4,7.7,100
23.3,582,7.63,6.7,100
23.3,682,7.79,7,100
23.3,621,7.48,7.2,100
23.3,1080,8,9,73.14
23.3,599,7.89,9,73.14
23.3,824,7.42,6.4,73.13
23.3,623,7.82,6.3,73.13
23.3,1120,7.75,6.3,73.13
23.3,1090,7.6,6.2,73.12
23.3,787,7.7,6.2,73.12
23.3,532,7.5,6.1,73.11
23.3,1060,7.4,6.1,73.11
